weighted_error, threshold, feature, weight_alpha
6.338797814207662862e-01,-9.454519999999999591e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.320582877959939339e-01,-9.454069999999999974e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.302367941712215815e-01,-9.450199999999999712e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.320582877959939339e-01,-9.445679999999999632e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.302367941712215815e-01,-9.419180000000000330e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.320582877959939339e-01,-9.413179999999999881e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.338797814207662862e-01,-9.397309999999999830e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.338797814207662862e-01,-9.397309999999999830e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.375227686703109908e-01,-9.367799999999999461e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.393442622950833432e-01,-9.359429999999999694e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.375227686703109908e-01,-9.358990000000000364e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.393442622950833432e-01,-9.357659999999999867e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.393442622950833432e-01,-9.357659999999999867e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.357012750455386385e-01,-9.307050000000000045e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.375227686703109908e-01,-9.304080000000000128e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.393442622950833432e-01,-9.296269999999999811e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.411657559198556955e-01,-9.295109999999999761e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.429872495446280478e-01,-9.293059999999999654e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.448087431694004001e-01,-9.264280000000000292e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.466302367941727525e-01,-9.261880000000000113e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.484517304189451048e-01,-9.260450000000000070e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.502732240437174571e-01,-9.257250000000000201e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.520947176684898094e-01,-9.256060000000000398e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.539162112932621618e-01,-9.248790000000000067e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.557377049180345141e-01,-9.248549999999999827e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.539162112932621618e-01,-9.196640000000000370e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.557377049180345141e-01,-9.193829999999999503e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.575591985428068664e-01,-9.188490000000000268e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.557377049180345141e-01,-9.186339999999999506e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.575591985428068664e-01,-9.174269999999999925e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.557377049180345141e-01,-9.144989999999999508e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.575591985428068664e-01,-9.144569999999999643e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.557377049180345141e-01,-9.144200000000000106e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.575591985428068664e-01,-9.137720000000000287e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.593806921675792188e-01,-9.137669999999999959e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.575591985428068664e-01,-9.128469999999999640e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.557377049180345141e-01,-9.117509999999999781e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.539162112932621618e-01,-9.117060000000000164e-01,-1.000000000000000000e+00,1.000000000000000000e+00
