weighted_error, threshold, feature, weight_alpha
4.863920253883242117e-01,-8.257330000000000503e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.851187922278780151e-01,-8.245620000000000172e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.854560999640425423e-01,-8.199419999999999487e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.848704810056790881e-01,-9.450199999999999712e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.847136658198935577e-01,-9.248549999999999827e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.849644108127090791e-01,-9.307050000000000045e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.850165887018246247e-01,-8.045630000000000281e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.840450654884724258e-01,-8.168889999999999763e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.863896424223398962e-01,-8.098090000000000011e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.850191474029748595e-01,-9.809010000000000229e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.858564523533155932e-01,-9.248549999999999827e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.851995826769504028e-01,-8.998660000000000547e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.866696985616449922e-01,-8.945199999999999818e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.858272904993558572e-01,-8.858559999999999768e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.861554420910228491e-01,-8.894549999999999956e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.866955253973802020e-01,-8.858559999999999768e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.872054807944175558e-01,-8.894549999999999956e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.870170935572435966e-01,-8.998660000000000547e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.867008451966370330e-01,-9.188490000000000268e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.856224118334906414e-01,-9.307050000000000045e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.861459543119430737e-01,-9.248549999999999827e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.865194739592769713e-01,-9.307050000000000045e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.860834377218619662e-01,-8.045630000000000281e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.864803928422645751e-01,7.777780000000000804e-01,-5.000000000000000000e+00,1.000000000000000000e+00
4.862834296862074135e-01,-8.194810000000000150e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.862267758353255309e-01,-8.245620000000000172e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.858158100256774192e-01,-8.257330000000000503e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.863540195676593902e-01,-8.268050000000000122e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.869452006262426358e-01,-8.257330000000000503e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.863917633471122048e-01,-8.245620000000000172e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.869693110121859903e-01,-8.257330000000000503e-01,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,-9.990000000000000000e+02,-9.990000000000000000e+02,-9.990000000000000000e+02
